model_key,provider,model_name,item_id,expected,raw_output,parsed,status,correct,latency_ms,input_tokens,output_tokens,run_date
local,ollama,qwen3:4b-instruct-2507-q4_K_M,16,C++,C++,C++,ok,True,4648.54,144,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,17,C#,C#,C#,ok,True,3378.78,127,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,18,Go,Go,Go,ok,True,2303.11,117,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,19,Rust,Rust,Rust,ok,True,3162.12,127,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,20,PHP,PHP,PHP,ok,True,2924.8,129,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,21,Python,Python,Python,ok,True,2674.36,126,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,22,Java,Java,Java,ok,True,3221.88,139,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,23,JavaScript,JavaScript,JavaScript,ok,True,3544.29,125,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,24,TypeScript,TypeScript,TypeScript,ok,True,2815.46,111,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,25,C,C++,C++,ok,False,4494.22,142,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,26,C++,C++,C++,ok,True,3513.55,131,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,27,C#,C#,C#,ok,True,2691.84,124,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,28,Go,Go,Go,ok,True,4383.63,136,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,29,Rust,Rust,Rust,ok,True,5224.98,146,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,30,PHP,PHP,PHP,ok,True,3558.04,139,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,31,Python,Python,Python,ok,True,4066.29,132,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,32,Java,Java,Java,ok,True,4702.65,148,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,33,JavaScript,JavaScript,JavaScript,ok,True,2420.57,124,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,34,TypeScript,TypeScript,TypeScript,ok,True,2610.94,122,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,35,C,C,C,ok,True,2971.81,129,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,36,C++,C++,C++,ok,True,2650.31,121,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,37,C#,C#,C#,ok,True,2464.4,120,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,38,Go,Go,Go,ok,True,3683.85,147,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,39,Rust,Rust,Rust,ok,True,3155.85,135,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,40,PHP,PHP,PHP,ok,True,3031.08,138,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,41,Python,Python,Python,ok,True,2435.92,122,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,42,Java,Java,Java,ok,True,2095.56,121,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,43,JavaScript,JavaScript,JavaScript,ok,True,2153.09,119,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,44,TypeScript,TypeScript,TypeScript,ok,True,2747.72,122,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,45,C,C,C,ok,True,3517.14,150,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,46,C++,C++,C++,ok,True,5248.54,158,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,47,C#,C#,C#,ok,True,3332.58,127,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,48,Go,Go,Go,ok,True,4221.92,143,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,49,Rust,Rust,Rust,ok,True,4658.58,161,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,50,PHP,PHP,PHP,ok,True,3745.47,149,2,2026-09-09
